climaticZone,planetSection,temperatureSecondHalfPlanetRotation,temperatureFirstHalfPlanetRotation,mineralDensity,geoZone,longitude,rockSize,waterStreamDistanceY,cover,magmaConcentrationDistance,waterStreamDistanceX,detectionDepth,mineralType,id
7,Tatoooine,28.2,111.5,4651.22,2,124.69,0,31.99,0,CLOSE,911.32,31.26,1,18
7,Tatoooine,31.2,100.1,-999.0,7,41.2,1,104.9,3,CLOSE,1588.53,30.51,1,19
4,Hyrule,39.0,102.5,10392.43,7,348.58,3,19.87,4,VERY_CLOSE,281.92,23.23,6,20
4,Tatoooine,30.8,99.0,-999.0,7,53.31,3,64.07,4,VERY_CLOSE,2210.97,27.59,5,21
4,Hyrule,33.7,92.1,13216.08,7,27.31,3,181.8,4,VERY_CLOSE,1069.39,23.14,3,22
4,Hyrule,35.9,111.3,5810.24,7,1.97,3,63.86,4,VERY_CLOSE,515.19,23.29,6,23
7,Tatoooine,30.0,106.2,7074.84,7,41.81,1,91.2,3,CLOSE,1576.98,34.18,7,24
7,Mordor,21.1,97.8,10726.68,7,102.53,1,74.01,3,VERY_CLOSE,523.16,27.71,5,25
4,Tatoooine,35.9,99.5,-999.0,7,7.01,3,99.14,4,CLOSE,914.46,26.51,6,26
7,Mordor,29.7,109.2,-999.0,2,84.15,0,-10.55,0,VERY_CLOSE,1171.17,26.18,2,27
7,Tatoooine,28.3,99.3,-999.0,7,61.9,1,102.72,3,VERY_CLOSE,1439.05,27.54,2,28
7,Mordor,19.5,96.7,11185.84,7,101.63,1,103.05,3,CLOSE,995.0,27.61,5,29
4,Hyrule,38.9,112.5,9617.95,7,324.2,3,251.56,4,VERY_CLOSE,1540.35,23.78,3,30
2,Tatoooine,34.8,108.8,15992.02,7,256.22,3,73.47,4,VERY_CLOSE,426.71,25.19,3,31
8,Tatoooine,33.9,114.5,6603.69,7,271.22,1,5.14,3,VERY_CLOSE,100.62,33.22,7,32
7,Tatoooine,35.6,107.3,5803.04,2,315.88,0,-6.95,0,VERY_CLOSE,135.15,28.7,5,33
2,Tatoooine,21.8,97.9,9732.35,7,129.87,3,33.41,4,VERY_CLOSE,489.42,26.17,3,34
4,Hyrule,32.8,105.0,-999.0,7,28.81,3,92.08,4,CLOSE,1221.3,23.54,6,35
4,Hyrule,25.9,92.7,10706.19,7,64.7,3,11.85,4,VERY_CLOSE,101.25,24.44,6,36
2,Tatoooine,32.3,108.6,8053.17,7,233.26,3,103.01,4,CLOSE,869.93,27.21,3,37
4,Tatoooine,19.1,100.0,11734.9,7,133.29,3,119.37,4,VERY_CLOSE,701.13,28.4,5,38
7,Tatoooine,33.4,112.5,5040.23,2,248.72,0,11.72,0,CLOSE,391.0,28.39,5,39
2,Hyrule,38.7,113.0,-999.0,7,274.94,1,50.27,3,VERY_CLOSE,1266.92,24.64,3,40
8,Tatoooine,27.4,97.4,-999.0,7,69.1,1,148.32,3,CLOSE,1666.24,32.38,7,41
6,Mordor,27.4,100.6,5102.39,7,115.38,1,7.76,2,FAR,202.51,26.21,5,42
4,Hyrule,31.0,99.7,-999.0,7,32.27,3,58.46,4,VERY_CLOSE,1209.28,23.86,6,43
2,Hyrule,26.5,104.3,6062.03,7,173.96,3,0.0,4,VERY_CLOSE,0.0,22.38,4,44
7,Mordor,21.7,101.4,10607.32,7,164.18,1,83.36,3,VERY_CLOSE,898.41,28.41,5,45
4,Tatoooine,24.5,110.3,8002.28,7,175.54,3,33.33,4,VERY_CLOSE,480.64,27.55,5,46
4,Tatoooine,29.7,104.1,-999.0,7,53.58,3,1.9,4,VERY_CLOSE,138.19,23.6,6,47
4,Hyrule,37.7,111.7,-999.0,7,305.43,3,11.89,4,VERY_CLOSE,98.51,21.61,6,48
7,Mordor,23.0,104.6,8006.2,7,131.39,1,9.72,3,CLOSE,641.38,29.1,2,49
2,Hyrule,28.4,107.8,6492.89,7,199.52,1,0.0,3,VERY_CLOSE,0.0,22.95,4,50
7,Mordor,36.8,110.3,-999.0,7,317.31,1,47.97,3,FAR,1377.94,30.29,2,51
8,Mordor,22.9,106.6,-999.0,7,159.97,1,13.3,3,CLOSE,717.43,34.54,7,52
7,Mordor,30.7,106.2,3306.25,7,176.52,1,12.52,3,VERY_FAR,346.97,30.59,1,53
2,Hyrule,19.0,95.6,12557.27,7,96.33,1,28.95,3,VERY_CLOSE,230.45,18.16,6,54
7,Mordor,22.7,103.7,9267.15,7,159.15,1,117.51,3,VERY_CLOSE,1245.01,29.1,5,55
7,Tatoooine,36.6,107.6,-999.0,7,365.68,1,63.13,3,VERY_CLOSE,2833.99,34.04,1,56
4,Hyrule,38.1,102.1,11815.27,7,353.53,3,89.95,4,VERY_CLOSE,865.3,23.91,6,57
6,Hyrule,28.1,110.5,5565.84,1,194.41,0,0.0,0,VERY_CLOSE,0.0,23.51,4,58
7,Mordor,20.3,98.9,10322.67,7,109.39,1,50.22,3,VERY_CLOSE,370.39,29.45,1,59
8,Mordor,29.3,110.5,3626.43,7,167.65,1,48.63,3,MEDIUM,784.08,35.46,7,60
2,Hyrule,26.9,97.9,8390.95,7,64.34,1,86.85,1,VERY_CLOSE,1786.7,23.94,3,61
4,Tatoooine,34.6,106.6,-999.0,7,333.53,3,42.64,4,CLOSE,1093.46,26.58,5,62
2,Hyrule,37.7,113.0,-999.0,7,324.5,1,9.31,1,VERY_CLOSE,296.55,24.17,3,63
8,Tatoooine,31.8,115.1,5549.55,7,218.47,1,146.88,3,CLOSE,3374.83,34.08,7,64
7,Mordor,26.2,98.7,5875.27,7,108.1,1,45.56,3,CLOSE,582.15,28.34,5,65
4,Tatoooine,28.5,103.5,8532.3,7,49.36,3,58.06,4,VERY_CLOSE,497.09,24.91,3,66
4,Tatoooine,13.7,96.6,-999.0,7,151.43,3,102.12,4,VERY_CLOSE,647.34,27.53,5,67
3,Mordor,31.5,104.6,2843.23,5,225.65,0,-2.02,0,FAR,952.96,29.22,2,68
7,Mordor,24.9,91.6,11796.7,7,73.44,1,180.61,3,CLOSE,1944.33,33.04,7,69
2,Hyrule,27.0,111.6,6785.06,7,177.98,1,0.0,3,VERY_CLOSE,0.0,21.31,4,70
6,Mordor,31.8,106.8,3238.09,1,200.84,0,0.0,0,VERY_FAR,0.0,23.75,5,71
8,Tatoooine,34.6,113.1,5324.18,7,264.62,0,0.0,0,MEDIUM,566.69,32.9,7,72
2,Hyrule,37.2,103.9,12392.3,7,351.7,1,13.09,1,VERY_CLOSE,199.29,23.12,6,73
2,Hyrule,15.9,101.2,-999.0,7,177.19,3,163.62,4,VERY_CLOSE,955.53,23.29,4,74
2,Tatoooine,23.0,109.0,-999.0,7,175.76,3,102.31,4,CLOSE,1191.46,27.78,3,75
2,Hyrule,14.5,94.2,-999.0,7,163.0,1,51.33,1,VERY_CLOSE,1172.05,24.37,4,76
2,Tatoooine,28.4,105.7,-999.0,7,188.02,3,0.0,4,CLOSE,190.48,28.29,5,77
7,Mordor,28.3,104.1,5086.44,7,120.34,1,25.05,3,MEDIUM,567.21,27.66,2,78
7,Mordor,28.4,100.3,4933.16,7,96.78,1,8.34,3,CLOSE,396.93,32.87,7,79
7,Mordor,31.8,104.2,4667.7,1,54.47,0,2.92,0,CLOSE,95.16,29.38,2,80
7,Mordor,28.5,109.1,-999.0,7,119.52,1,5.83,3,VERY_CLOSE,945.23,27.02,5,81
7,Tatoooine,36.9,107.2,6055.56,7,341.49,1,7.2,3,VERY_CLOSE,216.38,29.69,1,82
4,Hyrule,42.8,108.5,13688.3,7,342.19,3,225.67,4,VERY_CLOSE,1236.93,22.29,3,83
4,Hyrule,33.5,104.6,-999.0,7,17.92,3,41.73,4,VERY_CLOSE,370.16,23.44,3,84
4,Hyrule,43.0,102.8,16542.35,7,312.97,3,140.2,4,VERY_CLOSE,899.83,21.41,3,85
8,Mordor,37.5,106.0,7983.11,7,335.26,1,30.7,3,CLOSE,427.28,34.22,7,86
7,Tatoooine,24.9,-999.0,6482.25,7,97.76,1,12.55,3,CLOSE,293.99,27.57,3,87
4,Tatoooine,22.9,99.3,9516.14,7,112.0,3,1.95,4,VERY_CLOSE,188.06,24.06,6,88
2,Tatoooine,22.9,-999.0,-999.0,7,184.87,3,37.88,4,MEDIUM,424.14,27.08,3,89
6,Mordor,30.6,112.3,3497.73,7,192.74,1,41.41,2,FAR,939.54,25.57,2,90
2,Hyrule,21.7,99.6,9673.84,7,112.81,1,71.69,2,VERY_CLOSE,398.43,23.02,3,91
4,Hyrule,36.8,108.7,10582.95,7,354.77,3,32.8,4,VERY_CLOSE,289.6,22.88,3,92
4,Tatoooine,22.1,101.1,8776.53,7,153.84,3,69.48,4,VERY_CLOSE,869.09,28.85,5,93
2,Hyrule,25.7,95.2,9106.79,7,82.55,1,240.09,3,VERY_CLOSE,1237.02,24.13,3,94
8,Tatoooine,15.1,95.5,13770.98,7,147.14,1,27.96,3,VERY_CLOSE,642.8,31.9,7,95
8,Tatoooine,35.0,-999.0,7328.77,7,4.06,1,53.9,3,VERY_CLOSE,1622.55,33.53,7,96
7,Mordor,18.5,101.3,11644.88,7,125.94,1,0.0,3,VERY_CLOSE,0.0,28.99,1,97
7,Mordor,16.0,99.3,-999.0,7,138.23,1,204.57,3,CLOSE,1137.64,28.55,5,98
7,Mordor,27.9,103.3,5231.79,2,115.81,0,-14.98,0,VERY_CLOSE,718.6,30.6,1,99
4,Hyrule,35.3,98.8,14699.48,7,8.03,3,25.8,4,VERY_CLOSE,99.57,20.45,6,100
6,Mordor,34.9,113.3,4265.34,7,254.4,1,45.74,2,VERY_FAR,479.92,26.73,5,101
7,Tatoooine,16.4,90.7,13992.14,7,105.66,1,101.22,3,CLOSE,622.82,28.79,1,102
6,Hyrule,26.7,102.1,-999.0,1,126.9,0,0.0,0,VERY_CLOSE,0.0,20.95,4,103
7,Mordor,18.6,94.9,11229.15,7,131.28,1,128.93,3,VERY_CLOSE,901.73,27.68,5,104
2,Hyrule,32.0,-999.0,2316.98,7,9.17,1,52.85,1,CLOSE,1108.11,23.9,3,105
2,Hyrule,34.2,108.6,7021.2,7,10.8,1,158.5,2,VERY_CLOSE,1143.39,22.36,3,106
4,Hyrule,23.7,103.3,8719.0,7,90.27,3,62.46,4,VERY_CLOSE,645.7,22.31,6,107
7,Tatoooine,36.3,98.6,-999.0,7,5.96,1,100.17,3,VERY_CLOSE,913.02,24.05,2,108
2,Hyrule,26.0,100.7,6699.38,7,114.82,1,17.56,1,CLOSE,398.48,25.06,3,109
8,Mordor,22.9,98.3,9302.12,7,106.31,1,14.69,3,CLOSE,1008.43,31.96,7,110
4,Tatoooine,28.1,98.5,9618.69,7,46.19,3,22.65,4,VERY_CLOSE,498.74,23.29,3,111
7,Mordor,23.6,-999.0,8395.34,7,175.26,1,-31.17,3,MEDIUM,228.45,32.3,7,112
6,Hyrule,32.9,99.4,12039.31,1,29.96,0,0.0,0,VERY_CLOSE,0.0,20.52,4,113
2,Hyrule,14.9,101.2,15602.32,7,161.37,3,70.31,4,CLOSE,405.51,22.02,4,114
2,Hyrule,27.2,-999.0,5809.42,7,111.22,1,168.93,1,CLOSE,1348.2,24.52,4,115
4,Hyrule,34.4,101.9,7698.14,7,3.03,3,9.72,4,VERY_CLOSE,94.3,21.04,6,116
8,Tatoooine,38.0,100.4,10627.06,7,359.13,1,80.46,3,VERY_CLOSE,1796.11,35.27,7,117
2,Tatoooine,36.8,109.1,13648.42,7,265.41,3,117.74,4,VERY_CLOSE,750.13,24.69,3,118
4,Tatoooine,26.1,111.0,10449.68,7,210.21,3,159.83,4,CLOSE,1168.22,27.17,3,119
2,Tatoooine,31.1,112.2,-999.0,7,217.65,3,21.98,4,CLOSE,582.45,26.53,3,120
6,Mordor,30.7,105.3,4077.0,7,67.84,1,4.06,2,FAR,486.96,24.33,5,121
4,Tatoooine,37.3,106.8,-999.0,7,340.08,3,73.01,4,CLOSE,819.18,26.38,6,122
8,Tatoooine,21.1,102.3,18507.42,7,210.47,1,90.06,3,VERY_CLOSE,619.28,31.45,7,123
2,Hyrule,22.1,104.7,9424.69,7,142.32,1,33.96,2,VERY_CLOSE,1764.25,22.62,4,124
2,Hyrule,19.2,96.7,11947.26,7,160.11,3,44.97,4,CLOSE,353.69,23.41,4,125
7,Tatoooine,23.3,103.7,-999.0,7,134.31,1,34.54,3,CLOSE,605.2,29.37,2,126
2,Hyrule,17.2,98.9,-999.0,7,152.85,3,96.12,4,CLOSE,630.25,23.87,4,127
4,Hyrule,34.1,95.9,14289.27,7,14.9,3,148.0,4,VERY_CLOSE,902.62,21.91,3,128
8,Tatoooine,25.1,110.4,7167.79,7,155.35,1,128.81,3,VERY_CLOSE,1808.01,31.43,7,129
7,Mordor,34.9,107.4,5464.66,2,264.03,0,47.1,0,CLOSE,969.28,33.29,7,130
7,Mordor,31.4,105.2,-999.0,7,4.92,1,-1.95,3,VERY_FAR,487.72,26.0,5,131
7,Tatoooine,21.9,97.9,11142.56,7,89.49,1,100.36,3,CLOSE,721.37,30.22,2,132
4,Hyrule,24.9,89.6,13435.94,7,57.84,3,19.25,4,VERY_CLOSE,267.13,21.55,6,133
2,Tatoooine,31.6,108.2,2079.78,7,27.31,1,0.95,2,CLOSE,101.02,26.1,6,134
4,Mordor,26.5,105.2,8049.94,7,186.12,1,22.8,1,VERY_FAR,227.43,26.77,2,135
7,Mordor,24.6,107.4,6706.89,7,136.35,1,31.47,3,VERY_CLOSE,614.41,29.68,2,136
7,Mordor,22.9,107.2,7958.42,7,130.37,1,55.11,3,CLOSE,1963.03,31.59,2,137
7,Mordor,30.4,111.4,6806.39,7,213.87,1,34.37,3,CLOSE,705.18,32.33,7,138
7,Mordor,29.2,110.9,3641.36,1,84.87,0,-2.1,0,FAR,392.08,27.89,2,139
7,Tatoooine,21.1,94.0,13211.67,7,74.5,1,140.96,3,VERY_CLOSE,834.18,26.99,6,140
7,Mordor,14.7,89.1,-999.0,7,131.52,1,-100.59,3,CLOSE,771.13,26.63,5,141
8,Tatoooine,27.8,108.1,-999.0,7,173.04,0,-2.04,0,VERY_CLOSE,190.13,33.78,7,142
2,Hyrule,16.5,102.0,14039.93,7,160.18,1,8.14,2,VERY_CLOSE,99.04,22.27,6,143
4,Hyrule,16.2,86.0,14725.94,7,97.54,3,23.73,4,VERY_CLOSE,96.86,21.39,6,144
2,Hyrule,35.6,107.3,7630.54,7,262.02,1,84.79,1,VERY_CLOSE,1129.9,22.35,3,145
4,Hyrule,21.4,92.7,14260.83,7,76.11,3,53.07,4,VERY_CLOSE,278.13,23.54,6,146
7,Mordor,27.8,102.9,5031.95,1,113.13,0,0.0,0,VERY_FAR,0.0,28.76,2,147
7,Mordor,27.7,105.4,5049.87,7,136.78,1,-4.86,3,VERY_CLOSE,94.09,27.15,5,148
4,Tatoooine,15.6,95.4,13655.06,7,122.51,3,146.05,4,CLOSE,1161.42,28.96,2,149
4,Tatoooine,17.9,91.1,13607.02,7,97.72,3,22.54,4,VERY_CLOSE,216.92,24.57,6,150
7,Mordor,15.0,93.9,-999.0,7,147.69,1,63.14,3,VERY_CLOSE,389.29,27.94,5,151
7,Mordor,31.4,106.6,6380.23,7,48.89,1,221.02,3,CLOSE,1980.51,30.03,2,152
7,Mordor,35.6,102.6,7434.02,2,360.97,2,45.28,3,MEDIUM,737.52,30.91,1,153
7,Mordor,31.2,107.8,3360.58,2,99.24,0,0.0,0,CLOSE,96.81,28.47,5,154
2,Tatoooine,30.3,-999.0,12657.92,7,224.25,3,71.18,4,CLOSE,587.92,26.22,3,155
4,Tatoooine,23.8,99.9,8122.7,7,150.47,3,19.94,4,VERY_CLOSE,286.31,28.0,5,156
4,Hyrule,29.3,112.0,-999.0,7,146.94,3,0.0,4,VERY_CLOSE,0.0,23.34,4,157
2,Hyrule,33.3,102.0,6724.97,7,30.7,1,169.67,1,CLOSE,1602.05,24.3,3,158
2,Tatoooine,36.4,110.2,8118.6,7,273.51,3,32.02,4,CLOSE,1156.15,27.92,5,159
7,Mordor,38.3,106.2,-999.0,7,306.05,1,12.18,3,CLOSE,355.84,29.6,5,160
8,Tatoooine,33.0,108.8,-999.0,7,30.84,1,395.48,3,MEDIUM,2886.82,40.01,7,161
8,Tatoooine,25.9,112.2,7884.01,7,182.8,1,91.6,3,MEDIUM,895.47,32.98,7,162
7,Mordor,35.7,107.6,4732.36,7,303.72,1,0.0,3,CLOSE,96.91,30.01,1,163
4,Hyrule,32.4,108.8,-999.0,7,18.24,3,3.99,4,CLOSE,136.47,23.97,6,164
2,Hyrule,23.2,107.2,8222.61,7,145.56,1,128.33,2,VERY_CLOSE,1579.07,23.37,4,165
4,Mordor,30.4,109.0,3609.53,7,42.7,1,14.56,1,VERY_CLOSE,1956.35,28.36,2,166
2,Tatoooine,27.1,105.2,8082.05,7,205.78,3,16.78,4,CLOSE,307.02,24.71,3,167
7,Mordor,28.7,109.9,5461.98,7,100.33,1,4.77,3,CLOSE,596.29,28.41,5,168
2,Tatoooine,24.5,103.5,9692.7,7,192.07,3,9.16,4,MEDIUM,189.14,25.91,3,169
2,Hyrule,16.6,101.8,12719.61,7,156.3,3,60.61,4,CLOSE,476.78,23.0,4,170
2,Tatoooine,25.9,111.0,9750.6,7,187.87,3,18.76,4,CLOSE,311.25,27.03,3,171
4,Hyrule,31.7,97.3,14092.24,7,27.8,3,126.42,4,VERY_CLOSE,684.71,20.89,6,172
2,Hyrule,27.2,112.9,8205.83,7,195.35,1,4.8,3,VERY_CLOSE,101.29,22.1,4,173
6,Hyrule,34.7,103.1,10166.41,1,10.89,0,0.0,0,VERY_CLOSE,0.0,20.79,4,174
7,Tatoooine,29.1,102.4,5067.47,1,54.66,0,1.03,0,CLOSE,100.21,28.0,5,175
7,Tatoooine,37.4,94.5,12956.71,7,6.04,1,100.15,3,VERY_CLOSE,611.72,26.18,6,176
8,Tatoooine,37.7,113.6,9274.43,7,308.49,1,233.95,3,MEDIUM,2811.61,33.14,7,177
2,Hyrule,27.4,112.4,-999.0,7,221.01,3,49.48,4,VERY_CLOSE,402.53,23.89,3,178
7,Mordor,27.4,102.9,4805.18,7,88.22,1,26.05,3,MEDIUM,1027.36,30.09,2,179
2,Tatoooine,25.6,106.1,-999.0,7,112.74,1,72.0,2,CLOSE,961.71,26.84,6,180
7,Tatoooine,32.5,111.5,-999.0,7,215.06,1,58.69,3,CLOSE,1669.5,29.63,2,181
7,Mordor,28.5,99.7,-999.0,7,58.61,1,8.31,3,CLOSE,415.68,27.66,2,182
7,Mordor,28.8,102.3,7564.99,7,50.48,1,12.93,3,FAR,640.15,28.87,2,183
7,Tatoooine,33.6,-999.0,5907.25,7,9.96,1,165.67,3,CLOSE,1884.92,30.41,1,184
4,Hyrule,40.9,95.9,-999.0,7,348.83,3,143.38,4,VERY_CLOSE,803.89,23.15,6,185
7,Mordor,17.0,95.9,12941.58,7,112.8,1,111.35,3,VERY_CLOSE,783.71,28.76,5,186
2,Tatoooine,24.1,104.3,8519.57,7,177.95,3,-4.01,4,VERY_CLOSE,978.83,26.67,3,187
7,Tatoooine,30.8,116.8,6962.1,7,225.3,1,10.51,3,VERY_CLOSE,275.62,29.1,5,188
7,Tatoooine,31.3,102.5,-999.0,7,48.57,1,78.57,3,MEDIUM,1166.74,32.95,7,189
8,Tatoooine,25.1,110.1,8017.8,7,188.23,1,200.05,3,MEDIUM,1242.56,34.37,7,190
4,Hyrule,28.1,95.1,-999.0,7,44.87,3,36.31,4,VERY_CLOSE,507.14,19.97,3,191
4,Mordor,30.6,111.2,2686.22,7,76.6,1,16.28,1,CLOSE,1094.74,25.91,2,192
8,Tatoooine,36.9,101.0,8512.24,7,364.71,1,76.68,3,VERY_CLOSE,1518.88,33.41,7,193
7,Tatoooine,21.6,99.2,-999.0,7,162.35,1,129.37,3,CLOSE,1893.56,33.47,1,194
7,Mordor,28.7,102.4,4271.61,7,96.45,1,-11.84,3,VERY_FAR,874.38,29.64,1,195
4,Tatoooine,32.3,110.9,4915.24,7,44.49,3,6.26,4,VERY_CLOSE,197.7,24.25,6,196
2,Tatoooine,31.9,115.7,10664.59,7,237.68,3,0.0,4,VERY_CLOSE,0.0,26.14,3,197
2,Hyrule,22.1,101.1,-999.0,7,181.73,3,159.42,4,CLOSE,1037.53,24.69,4,198
2,Hyrule,34.0,102.8,6121.81,7,2.99,3,6.13,4,VERY_CLOSE,102.24,21.36,4,199
2,Hyrule,17.7,103.5,13323.61,7,162.73,3,88.84,4,VERY_CLOSE,600.52,21.55,4,200
7,Mordor,27.6,104.1,4649.02,1,141.4,0,0.0,0,CLOSE,0.0,26.71,1,201
5,Hyrule,30.9,96.9,13417.34,1,32.08,0,16.37,0,VERY_CLOSE,132.07,22.97,6,202
7,Mordor,30.4,106.1,2007.93,2,247.16,2,24.68,3,VERY_CLOSE,665.98,33.01,1,203
8,Tatoooine,31.4,105.4,-999.0,7,28.52,1,28.99,3,MEDIUM,797.45,33.18,7,204
7,Tatoooine,25.7,98.9,9932.81,7,79.32,1,30.31,3,VERY_CLOSE,933.66,28.47,2,205
4,Hyrule,28.2,102.1,6465.93,7,66.22,3,5.0,4,VERY_CLOSE,102.2,19.88,4,206
4,Hyrule,28.9,98.8,8236.47,7,57.74,3,98.4,4,VERY_CLOSE,598.35,23.84,6,207
7,Tatoooine,24.9,98.7,7539.97,7,89.18,1,15.5,3,VERY_CLOSE,374.33,28.38,5,208
2,Hyrule,36.5,110.3,-999.0,7,330.51,3,9.69,4,VERY_CLOSE,101.98,23.15,4,209
7,Tatoooine,35.1,113.1,5783.63,2,287.44,2,-24.11,3,VERY_CLOSE,817.0,33.68,1,210
4,Tatoooine,20.7,91.7,12838.45,7,80.37,3,40.81,4,VERY_CLOSE,421.63,23.41,6,211
6,Tatoooine,33.1,106.1,-999.0,1,344.72,0,0.0,0,CLOSE,0.0,28.6,5,212
7,Tatoooine,34.8,104.6,4208.15,2,344.19,0,5.23,0,VERY_CLOSE,141.69,33.02,2,213
2,Hyrule,35.7,108.1,-999.0,7,256.49,1,28.4,2,VERY_CLOSE,1147.94,22.7,4,214
2,Tatoooine,29.4,106.3,3785.74,7,128.53,1,21.01,2,VERY_CLOSE,1013.01,24.6,5,215
2,Hyrule,22.3,100.6,9655.66,7,122.29,3,0.0,4,CLOSE,0.0,25.69,4,216
8,Tatoooine,26.4,108.9,8824.88,7,192.82,1,16.69,3,FAR,650.26,35.24,7,217
8,Tatoooine,26.6,102.7,8330.81,7,75.81,1,112.54,3,CLOSE,1417.85,34.7,7,218
7,Tatoooine,34.8,113.4,5730.97,1,321.6,0,0.0,0,VERY_CLOSE,0.0,29.15,5,219
7,Tatoooine,30.2,109.4,3256.36,1,73.07,0,0.0,0,CLOSE,95.03,28.25,1,220
2,Tatoooine,34.0,112.3,9701.73,7,256.86,3,13.18,4,VERY_CLOSE,100.44,25.16,6,221
7,Mordor,24.0,100.4,7925.34,7,116.27,1,44.63,3,CLOSE,662.22,29.21,2,222
2,Tatoooine,32.0,109.6,2947.17,7,364.18,1,65.95,2,VERY_CLOSE,671.52,23.42,3,223
8,Tatoooine,25.8,99.8,6442.29,7,104.38,1,54.18,3,CLOSE,878.93,34.16,7,224
7,Tatoooine,23.0,102.8,8586.5,7,115.08,1,0.97,3,VERY_CLOSE,856.66,30.37,1,225
2,Hyrule,20.2,99.9,11476.05,7,172.01,3,15.71,4,VERY_CLOSE,137.0,20.17,4,226
2,Tatoooine,26.6,105.9,7618.76,7,175.38,3,0.0,4,CLOSE,285.18,25.7,5,227
7,Mordor,24.5,99.3,7406.12,7,132.41,1,190.1,3,CLOSE,1271.93,28.39,5,228
2,Hyrule,19.3,99.2,-999.0,7,156.4,3,100.56,4,VERY_CLOSE,701.78,22.18,4,229
2,Tatoooine,39.2,112.6,13297.13,7,273.52,3,148.4,4,VERY_CLOSE,1142.46,26.81,3,230
7,Mordor,19.9,102.5,12310.56,7,186.13,1,119.23,3,VERY_CLOSE,952.14,29.84,2,231
4,Hyrule,39.4,99.2,13642.29,7,353.39,3,18.14,4,VERY_CLOSE,138.86,23.72,6,232
2,Hyrule,32.6,100.8,7884.32,7,37.01,1,162.37,1,VERY_CLOSE,1390.91,25.27,6,233
2,Hyrule,31.2,108.2,5772.3,7,218.17,1,30.41,1,VERY_CLOSE,692.19,24.75,6,234
8,Tatoooine,36.0,102.1,6254.98,7,360.11,1,29.07,3,MEDIUM,862.66,33.93,7,235
2,Hyrule,34.5,102.9,7133.61,7,3.05,1,141.03,1,VERY_CLOSE,1194.91,23.04,6,236
7,Mordor,34.7,108.7,9163.02,7,256.96,1,185.15,3,MEDIUM,1952.94,30.24,2,237
7,Tatoooine,26.4,97.9,7092.13,7,103.67,1,10.43,3,CLOSE,2259.59,33.56,1,238
2,Hyrule,32.9,109.2,5441.87,7,38.43,3,0.0,4,CLOSE,0.0,24.65,4,239
6,Hyrule,33.6,99.2,7792.24,1,26.65,0,0.0,0,CLOSE,0.0,22.02,4,240
2,Hyrule,16.4,101.5,14237.23,7,167.26,3,78.53,4,CLOSE,472.24,22.41,4,241
6,Tatoooine,26.1,102.5,6824.42,1,165.22,0,0.0,0,CLOSE,0.0,24.33,6,242
7,Mordor,25.4,95.4,9294.83,7,78.43,1,234.75,3,CLOSE,1418.17,27.69,2,243
4,Tatoooine,29.2,100.1,-999.0,7,71.51,3,10.78,4,CLOSE,699.9,25.29,6,244
2,Hyrule,27.4,109.0,4334.37,7,85.58,1,34.74,1,VERY_CLOSE,456.9,22.42,3,245
4,Hyrule,40.8,93.2,19112.17,7,346.12,3,71.7,4,VERY_CLOSE,365.42,22.1,3,246
